N,type,S_size,degree,is_k4_free,alpha_exact,alpha_lower,alpha_upper,hoffman_bound,c_exact,c_lower,c_upper,method,connection_set
5,paley,1,2,True,2,2,2,2.24,1.154156,1.154156,1.154156,bitmask_bb,1
13,paley,3,6,True,3,3,3,3.61,0.772769,0.772769,0.772769,bitmask_bb,1 3 4
17,paley,4,8,True,3,3,3,4.12,0.678915,0.678915,0.678915,bitmask_bb,1 2 4 8
29,paley_repaired,5,10,True,8,8,8,11.53,1.198054,1.198054,1.198054,bitmask_bb,4 5 6 7 13
29,circulant_search,5,10,True,6,6,6,8.82,0.898540,0.898540,0.898540,bitmask_bb,2 5 6 7 13
37,paley_repaired,6,12,True,9,9,9,14.57,1.174659,1.174659,1.174659,cpsat,3 4 9 10 11 16
37,circulant_search,6,12,True,7,7,7,11.21,0.913624,0.913624,0.913624,cpsat,3 9 10 11 13 15
41,paley_repaired,7,14,True,11,11,11,14.50,1.423272,1.423272,1.423272,cpsat,4 5 8 9 10 18 20
41,circulant_search,7,14,True,7,7,7,11.50,0.905719,0.905719,0.905719,cpsat,2 4 8 9 17 18 20
53,paley_repaired,8,16,True,14,14,14,21.68,1.524357,1.524357,1.524357,cpsat,6 7 9 10 11 13 24 25
53,circulant_search,8,16,True,9,9,9,17.57,0.979944,0.979944,0.979944,cpsat,4 6 7 10 11 19 20 24
61,paley_repaired,9,18,True,13,13,13,23.32,1.327188,1.327188,1.327188,cpsat,5 12 13 14 15 16 19 20 22
61,circulant_search,9,18,True,12,12,12,21.30,1.225096,1.225096,1.225096,cpsat,5 8 12 15 16 18 19 20 21
73,paley_repaired,10,20,True,12,12,12,22.73,1.097452,1.097452,1.097452,cpsat,2 3 4 8 9 19 23 24 35 36
73,circulant_search,10,20,True,12,12,12,25.17,1.097452,1.097452,1.097452,cpsat,2 3 4 19 22 23 24 29 35 36
89,paley_repaired,12,24,True,19,19,19,31.63,1.612180,1.612180,1.612180,cpsat,2 4 8 9 10 21 22 25 32 34 39 44
89,circulant_search,12,24,True,15,15,15,25.47,1.272774,1.272774,1.272774,cpsat,3 4 5 8 9 16 22 25 29 31 39 44
97,paley_repaired,10,20,True,19,19,19,32.74,1.307702,1.307702,1.307702,cpsat,4 6 9 25 31 32 36 43 44 48
97,circulant_search,10,20,True,15,15,15,26.91,1.032396,1.032396,1.032396,cpsat,4 6 9 13 25 28 36 38 44 48
101,paley_repaired,15,30,True,26,26,26,38.80,2.270604,2.270604,2.270604,cpsat,4 5 6 13 14 16 21 22 23 24 25 30 31 33 43
101,circulant_search,15,30,True,18,18,18,33.75,1.571957,1.571957,1.571957,cpsat,5 6 12 13 14 16 22 23 24 25 26 30 31 34 43
109,paley_repaired,16,32,True,24,24,24,43.25,2.033009,2.033009,2.033009,cpsat,3 4 9 15 16 20 21 22 26 27 28 34 35 38 45 46
109,circulant_search,16,32,True,21,21,21,33.23,1.778883,1.778883,1.778883,cpsat,4 8 9 10 16 17 20 23 27 28 32 34 35 45 46 53
113,paley_repaired,18,36,True,24,24,24,39.40,2.133662,2.133662,2.133662,cpsat,7 8 9 11 13 14 15 16 28 30 31 32 36 50 51 52 53 56
113,circulant_search,18,36,True,24,24,24,36.92,2.133662,2.133662,2.133662,cpsat,5 7 8 9 11 13 15 16 28 30 31 32 34 36 50 51 52 53
137,paley_repaired,22,44,True,21,21,21,39.50,1.782291,1.782291,1.782291,cpsat,4 7 8 14 15 16 17 18 19 25 28 30 36 37 38 39 49 50 59 60 61 65
137,circulant_search,22,44,True,21,21,21,40.28,1.782291,1.782291,1.782291,cpsat,7 8 14 15 16 17 18 19 25 26 28 30 36 37 38 39 49 50 59 60 61 65
149,paley_repaired,20,40,True,38,38,38,58.73,2.765431,2.765431,2.765431,cpsat,6 7 16 19 20 24 25 28 29 33 42 45 46 54 63 64 67 68 69 73
149,circulant_search,20,40,True,40,40,40,57.18,2.910980,2.910980,2.910980,cpsat,6 7 10 16 19 24 25 28 32 33 41 42 45 46 54 63 64 67 68 73
157,paley_repaired,20,40,True,22,22,22,50.72,1.519457,1.519457,1.519457,cpsat,9 10 11 12 13 14 17 33 36 39 44 46 47 48 49 51 52 68 71 76
157,circulant_search,20,40,True,23,23,23,51.15,1.588524,1.588524,1.588524,cpsat,9 10 11 12 13 14 17 33 36 39 44 46 47 48 49 51 52 54 68 76
173,paley_repaired,22,44,True,28,28,28,61.36,1.881879,1.881879,1.881879,cpsat,6 9 10 13 14 15 16 29 33 35 37 51 52 54 55 56 57 60 73 78 81 83
173,circulant_search,22,44,True,28,28,28,55.93,1.881879,1.881879,1.881879,cpsat,4 9 10 13 14 16 33 35 37 49 51 52 54 55 57 58 60 71 73 78 81 83
181,paley_repaired,22,44,True,26,26,26,62.84,1.670223,1.670223,1.670223,cpsat,4 5 13 14 15 16 25 36 42 43 44 45 46 48 55 64 65 67 73 75 79 82
181,circulant_search,22,44,True,23,23,23,52.10,1.477505,1.477505,1.477505,cpsat,4 5 13 14 15 16 19 25 41 42 43 44 45 46 48 55 64 65 67 73 79 82
193,paley_repaired,22,44,True,24,24,24,56.86,1.445885,1.445885,1.445885,cpsat,4 6 7 8 9 14 23 24 25 28 49 50 54 55 64 65 67 84 85 86 92 96
193,circulant_search,22,44,True,24,24,24,57.79,1.445885,1.445885,1.445885,cpsat,4 6 7 9 14 23 24 25 28 33 38 49 50 54 55 64 65 84 85 86 92 96
