n,lam,beta,stop,target,seed,seed_graph,trial,c_log,alpha,d_max,edges,added,removed,n_min_deg,n_twin,n_hajnal,is_a_critical,n_non_critical_v
20,0.0,4.0,none,0,0,empty,0,1.2288229559462303,6,9,66,1533,1467,0,0,0,False,2
20,0.0,4.0,none,0,1,empty,1,1.3028834457097553,6,10,74,1537,1463,0,0,3,False,9
20,0.0,4.0,none,0,2,empty,2,1.3762068917000128,6,11,80,1540,1460,0,0,3,False,7
20,0.01,4.0,none,0,0,empty,0,1.4336267819372688,7,9,64,1532,1468,0,0,6,False,12
20,0.01,4.0,none,0,1,empty,1,1.4336267819372688,7,9,68,1534,1466,0,0,0,False,13
20,0.01,4.0,none,0,2,empty,2,1.4336267819372688,7,9,66,1533,1467,0,0,0,False,12
20,0.1,4.0,none,0,0,empty,0,1.2288229559462303,6,9,66,1533,1467,0,0,0,False,3
20,0.1,4.0,none,0,1,empty,1,1.2288229559462303,6,9,66,1533,1467,0,0,0,False,5
20,0.1,4.0,none,0,2,empty,2,1.3028834457097553,6,10,72,1536,1464,0,0,0,False,4
20,1.0,4.0,none,0,0,empty,0,1.2288229559462303,6,9,70,1535,1465,0,0,0,False,2
20,1.0,4.0,none,0,1,empty,1,1.2288229559462303,6,9,70,1535,1465,0,0,0,False,5
20,1.0,4.0,none,0,2,empty,2,1.4336267819372688,7,9,64,1532,1468,0,0,0,False,12
20,10.0,4.0,none,0,0,empty,0,1.2288229559462303,6,9,68,1534,1466,0,0,0,False,3
20,10.0,4.0,none,0,1,empty,1,1.2288229559462303,6,9,74,1537,1463,0,0,0,False,14
20,10.0,4.0,none,0,2,empty,2,1.3762068917000128,6,11,72,1536,1464,0,0,1,False,8
