class,label,n,solver,alpha,wall_s,rss_mb,status
prime_circulant,"C(17,[1, 2, 4, 8])",17,bb_clique_cover,3,0.0001,46.1,ok
prime_circulant,"C(17,[1, 2, 4, 8])",17,cpsat,3,0.1997,109.1,ok
prime_circulant,"C(17,[1, 2, 4, 8])",17,cpsat_vt,3,0.1867,107.9,ok
prime_circulant,"C(17,[1, 2, 4, 8])",17,maxsat,3,0.0225,50.8,ok
prime_circulant,"C(29,[1, 2, 6, 8])",29,bb_clique_cover,6,0.0005,46.1,ok
prime_circulant,"C(29,[1, 2, 6, 8])",29,cpsat,6,0.2085,110.0,ok
prime_circulant,"C(29,[1, 2, 6, 8])",29,cpsat_vt,6,0.2114,109.5,ok
prime_circulant,"C(29,[1, 2, 6, 8])",29,maxsat,6,0.0307,51.1,ok
prime_circulant,"C(37,[1, 10, 11])",37,bb_clique_cover,9,0.0031,46.1,ok
prime_circulant,"C(37,[1, 10, 11])",37,cpsat,9,0.1957,110.4,ok
prime_circulant,"C(37,[1, 10, 11])",37,cpsat_vt,9,0.1949,110.4,ok
prime_circulant,"C(37,[1, 10, 11])",37,maxsat,9,0.0273,51.1,ok
prime_circulant,"C(41,[1, 2, 4, 10, 12, 16, 17])",41,bb_clique_cover,6,0.0019,46.1,ok
prime_circulant,"C(41,[1, 2, 4, 10, 12, 16, 17])",41,cpsat,6,0.1973,110.5,ok
prime_circulant,"C(41,[1, 2, 4, 10, 12, 16, 17])",41,cpsat_vt,6,0.2097,110.5,ok
prime_circulant,"C(41,[1, 2, 4, 10, 12, 16, 17])",41,maxsat,6,0.0443,51.2,ok
prime_circulant,"C(53,[1, 2, 7, 16, 17, 24, 25])",53,bb_clique_cover,8,0.0201,46.1,ok
prime_circulant,"C(53,[1, 2, 7, 16, 17, 24, 25])",53,cpsat,8,0.222,113.7,ok
prime_circulant,"C(53,[1, 2, 7, 16, 17, 24, 25])",53,cpsat_vt,8,0.2227,113.6,ok
prime_circulant,"C(53,[1, 2, 7, 16, 17, 24, 25])",53,maxsat,8,0.1881,52.2,ok
prime_circulant,"C(61,[1, 13, 14])",61,bb_clique_cover,16,0.0895,46.1,ok
prime_circulant,"C(61,[1, 13, 14])",61,cpsat,16,0.2063,113.6,ok
prime_circulant,"C(61,[1, 13, 14])",61,cpsat_vt,16,0.2075,110.3,ok
prime_circulant,"C(61,[1, 13, 14])",61,maxsat,16,0.1077,51.5,ok
prime_circulant,"C(73,[1, 3, 4])",73,bb_clique_cover,20,0.3802,46.1,ok
prime_circulant,"C(73,[1, 3, 4])",73,cpsat,20,0.2007,110.5,ok
prime_circulant,"C(73,[1, 3, 4])",73,cpsat_vt,20,0.1991,110.8,ok
