graph_id,source,n,d_max,alpha,c_log,hoffman,hoffman_t,theta,theta_t,theta_prime,theta_prime_t,chi_f,chi_f_t,clique_cover,clique_cover_t,hardcore,hardcore_t,hoffman_over_alpha,theta_over_alpha,theta_prime_over_alpha,chi_f_over_alpha,clique_cover_over_alpha,alpha_over_hardcore
616eac31100bc37e,cayley,17,8,3,0.678915,4.123105625617664,0.0008,4.123105744236,0.9654,4.123097880842451,0.0394,5.666678750662007,0.0034,7,0.0002,2.995012463349825,0.0069,1.3744,1.3744,1.3744,1.8889,2.3333,1.0017
aa356a092d0eb4fc,cayley_tabu,22,8,4,0.699489,6.967028495798388,0.0004,5.670927538989828,0.0748,5.670931476835589,0.0656,7.333334149751226,0.0052,8,0.0003,3.9931987115978216,0.0113,1.7418,1.4177,1.4177,1.8333,2.0,1.0017
6a8d281aabad2908,cayley,19,6,4,0.704982,5.240429751206532,0.0003,5.2404334399879655,0.039,5.240438400258863,0.0424,6.333338087301317,0.0045,8,0.0003,3.99190339000276,0.0093,1.3101,1.3101,1.3101,1.5833,2.0,1.002
deb8b8e3b037c022,sat_exact,14,6,3,0.717571,,0.0001,3.7724196050072205,0.0199,3.76752057578853,0.0393,4.666670210652933,0.0053,6,0.0002,2.994579492386054,0.0073,,1.2575,1.2558,1.5556,2.0,1.0018
64e21362be816e6f,sat_regular,14,6,3,0.717571,,0.0002,3.7590425733305945,0.0245,3.755188045304057,0.0313,4.666670759348136,0.0039,5,0.0006,2.994579492386054,0.0052,,1.253,1.2517,1.5556,1.6667,1.0018
c74fc2e2b3c8a27d,sat_near_regular_nonreg,14,6,3,0.717571,,0.0001,3.8494148424780024,0.0192,3.849409161167293,0.0372,4.666666592824327,0.0073,6,0.0004,2.9946942112738473,0.0101,,1.2831,1.2831,1.5556,2.0,1.0018
4ee81c5778e42cd6,sat_near_regular_nonreg,14,6,3,0.717571,,0.0001,3.7831934777815484,0.0284,3.779939364288198,0.0379,4.666666495094093,0.0041,6,0.0003,2.9944597030894364,0.0057,,1.2611,1.26,1.5556,2.0,1.0019
220d4fe79b1c3a63,sat_exact,15,7,3,0.719458,,0.0001,3.918462100961762,0.0656,3.918463524666416,0.051,4.99999998977574,0.0031,7,0.0002,2.9945048038641304,0.0058,,1.3062,1.3062,1.6667,2.3333,1.0018
5aafa301bd8a6811,sat_regular,15,7,3,0.719458,,0.0002,3.9300379338448383,0.0321,3.9275496051582643,0.043,4.999999953073088,0.003,5,0.0002,2.9947250426354537,0.0062,,1.31,1.3092,1.6667,1.6667,1.0018
9b58b6693bd81dfd,sat_near_regular_nonreg,15,7,3,0.719458,,0.0002,3.8862122196618376,0.0243,3.8862208104354075,0.0403,4.999999976250379,0.004,6,0.0005,2.9941290583748423,0.0096,,1.2954,1.2954,1.6667,2.0,1.002
db7b03990b9482cc,sat_near_regular_nonreg,15,7,3,0.719458,,0.0001,3.9040126513435665,0.0247,3.8917497208813603,0.0474,5.000000037187318,0.0041,6,0.0004,2.9941290583748406,0.0097,,1.3013,1.2972,1.6667,2.0,1.002
e0c1ee3ff2a57b15,sat_near_regular_nonreg,15,7,3,0.719458,,0.0002,3.913012446020681,0.0263,3.883519868008266,0.049,5.000000032513382,0.0027,6,0.0002,2.9941290583748406,0.0054,,1.3043,1.2945,1.6667,2.0,1.002
98d06cfb15c9496c,sat_near_regular_nonreg,15,7,3,0.719458,,0.0001,3.886533160591067,0.0433,3.8862169910971955,0.0453,4.999999939225192,0.0031,6,0.0002,2.99439096186224,0.008,,1.2955,1.2954,1.6667,2.0,1.0019
c604b04392ffa1fc,sat_near_regular_nonreg,15,7,3,0.719458,,0.0004,3.91092780757339,0.0382,3.891761471865084,0.0406,4.99999998921601,0.0097,6,0.0004,2.9942723032283154,0.012,,1.3036,1.2973,1.6667,2.0,1.0019
4103c9aee2cd9a39,sat_near_regular_nonreg,15,7,3,0.719458,,0.0003,3.915300914022151,0.0218,3.8835202937178597,0.0421,4.999999994185003,0.0047,6,0.0003,2.9942723032283154,0.0066,,1.3051,1.2945,1.6667,2.0,1.0019
7d8c9a54f222f33e,sat_near_regular_nonreg,15,7,3,0.719458,,0.0001,3.927547522405377,0.0294,3.9275503268022787,0.0481,5.0000000742220525,0.0065,6,0.0004,2.9945048038641304,0.0081,,1.3092,1.3092,1.6667,2.0,1.0018
18147bf6fda98e69,cayley_tabu,20,7,4,0.719458,7.101650561665687,0.0002,5.306063756099709,0.0915,5.306049378236792,0.0438,6.666671548450548,0.0032,8,0.0004,3.9927965478536724,0.0162,1.7754,1.3265,1.3265,1.6667,2.0,1.0018
d76f4a61474cfb29,sat_exact,20,7,4,0.719458,6.239264630229098,0.0004,5.280869949808926,0.0372,5.268674333946032,0.0951,6.666675185498619,0.0079,9,0.0004,3.991898226181229,0.0113,1.5598,1.3202,1.3172,1.6667,2.25,1.002
7ef7f0c419362c01,sat_regular,20,7,4,0.719458,,0.0001,5.330440021788057,0.0367,5.329324976967095,0.06,6.66666670126969,0.005,8,0.0004,3.9928147455455063,0.0198,,1.3326,1.3323,1.6667,2.0,1.0018
ee577f249397b84a,sat_regular,20,7,4,0.719458,,0.0002,5.2995365822261515,0.0338,5.298250157285253,0.0555,6.6666727036353075,0.0033,9,0.0002,3.9926850564614984,0.0091,,1.3249,1.3246,1.6667,2.25,1.0018
c85eb47ebbd5a012,sat_exact,25,7,5,0.719458,,0.0002,6.623852477694122,0.0532,6.623370536651484,0.1746,8.333333340276848,0.004,10,0.0003,4.990854938686672,0.0189,,1.3248,1.3247,1.6667,2.0,1.0018
9bf19784dcba2a76,brute_force,8,4,2,0.721348,2.6666666666666665,0.0002,2.343146123699613,0.0155,2.3431446483599734,0.0115,2.666670142326525,0.0028,3,0.0002,1.996673594946857,0.0029,1.3333,1.1716,1.1716,1.3333,1.5,1.0017
880b0fb4383e5f23,cayley_tabu,16,4,4,0.721348,5.333333333333333,0.0004,4.686290538843863,0.0284,4.686291510254604,0.027,5.333335116557139,0.0043,6,0.0004,3.9933471898936985,0.0107,1.3333,1.1716,1.1716,1.3333,1.5,1.0017
3e266130c5cc1766,sat_regular,16,8,3,0.721348,,0.0001,4.000025039605057,0.0338,3.999995169811518,0.0962,5.333333333188168,0.0031,6,0.0003,2.994657224916129,0.0084,,1.3333,1.3333,1.7778,2.0,1.0018
76e9c6ef7c2c9f85,sat_regular,16,8,3,0.721348,,0.0001,4.003492633792124,0.0298,4.003477943846563,0.0435,5.333333336606754,0.0031,6,0.0002,2.9946572249161325,0.0076,,1.3345,1.3345,1.7778,2.0,1.0018
3c9b2c4e75c6113b,cayley_tabu,24,4,6,0.721348,8.000000000000005,0.0007,7.029437624364954,0.0568,7.0294370586342545,0.0573,8.000005947370184,0.0034,10,0.0003,5.9900207848406115,0.0219,1.3333,1.1716,1.1716,1.3333,1.6667,1.0017
3976a3cbedf01cd1,cayley_tabu,24,10,4,0.723824,6.857142857142859,0.0003,5.706446707829069,0.0877,5.706443869223078,0.091,7.99994719432161,0.0053,9,0.0004,3.9922465144218853,0.0124,1.7143,1.4266,1.4266,2.0,2.25,1.0019
5717078a29d135df,cayley_tabu_gap,24,10,4,0.723824,6.522639672457664,0.0002,5.7303516674104875,0.0743,5.730355255021017,0.0922,7.999947194321603,0.0078,9,0.0006,3.9920267484746104,0.0248,1.6307,1.4326,1.4326,2.0,2.25,1.002
f63aea26d32d0073,circulant,24,10,4,0.723824,6.857142857142857,0.0003,5.7295908737341605,0.1522,5.72960008448846,0.0895,7.999947194321608,0.0034,9,0.0003,3.9920267484746104,0.0123,1.7143,1.4324,1.4324,2.0,2.25,1.002
8812a7612418bc72,cayley_tabu,21,8,4,0.732797,6.383626566959779,0.0003,5.404425617405492,0.0504,5.4044129494140165,0.062,7.000001062262493,0.0032,8,0.0003,3.9912250567221377,0.011,1.5959,1.3511,1.3511,1.75,2.0,1.0022
94aba0c67d46d31a,cayley_tabu_gap,21,8,4,0.732797,5.326471669384556,0.0004,4.841093351102946,0.0502,4.816287973562273,0.0747,6.999994571096869,0.0071,8,0.0004,3.9884088365742345,0.0147,1.3316,1.2103,1.2041,1.75,2.0,1.0029
94b14848451457ef,sat_regular,21,8,4,0.732797,,0.0002,5.430690777952977,0.0392,5.429795430003919,0.0878,6.999999986390572,0.0033,8,0.0003,3.9929199113949707,0.0111,,1.3577,1.3574,1.75,2.0,1.0018
d49b17a57ceabb1e,sat_regular,21,8,4,0.732797,,0.0001,5.449604519145053,0.1063,5.449606914961624,0.0882,6.9999999963052115,0.0048,8,0.0003,3.992886594636587,0.0101,,1.3624,1.3624,1.75,2.0,1.0018
da5f986e127d1726,sat_near_regular_nonreg,21,8,4,0.732797,,0.0001,5.370879783288191,0.0388,5.3667148747642734,0.0881,7.000000001112023,0.0078,8,0.0006,3.9917579035823008,0.0196,,1.3427,1.3417,1.75,2.0,1.0021
4ccff674c67f932e,sat_near_regular_nonreg,21,8,4,0.732797,,0.0004,5.370297818911398,0.068,5.365441538959548,0.0966,7.000000064414395,0.0032,8,0.0003,3.991685102293805,0.0153,,1.3426,1.3414,1.75,2.0,1.0021
8eb3d360d94b77e5,sat_near_regular_nonreg,21,8,4,0.732797,,0.0005,5.3787206693922744,0.0447,5.3710365768598525,0.0733,7.0000000260625965,0.0033,8,0.0003,3.991663765372571,0.0125,,1.3447,1.3428,1.75,2.0,1.0021
681ac51b5e89029f,sat_near_regular_nonreg,21,8,4,0.732797,,0.0003,5.411688654169199,0.0385,5.409743353474298,0.0604,6.999999486816407,0.0034,8,0.0003,3.992043432873097,0.049,,1.3529,1.3524,1.75,2.0,1.002
caa8814a96434218,sat_near_regular_nonreg,21,8,4,0.732797,,0.0003,5.368971147871163,0.0392,5.368899534857124,0.0591,7.000000232893601,0.0033,9,0.0003,3.9917888354719446,0.0112,,1.3422,1.3422,1.75,2.25,1.0021
a6eeb2d295cd1a35,sat_near_regular_nonreg,21,8,4,0.732797,,0.0002,5.373678381241638,0.0339,5.373382918761487,0.0564,6.999999999388494,0.0045,9,0.0003,3.9917372944465837,0.0099,,1.3434,1.3433,1.75,2.25,1.0021
cd4e95f042cc2955,sat_near_regular_nonreg,21,8,4,0.732797,,0.0001,5.267536894552547,0.0389,5.25355458898737,0.0823,6.999999991076197,0.0032,9,0.0003,3.9910158061605414,0.0098,,1.3169,1.3134,1.75,2.25,1.0023
07297a07e78eb31f,sat_near_regular_nonreg,21,8,4,0.732797,,0.0001,5.362799587457096,0.0332,5.349875370113361,0.0839,6.999999996576263,0.0061,9,0.0003,3.991374472893706,0.013,,1.3407,1.3375,1.75,2.25,1.0022
a90a2a624d5278fe,sat_near_regular_nonreg,21,8,4,0.732797,,0.0002,5.29274912313746,0.0553,5.286025866542139,0.1521,6.999999994800542,0.0033,8,0.001,3.991422648575905,0.0123,,1.3232,1.3215,1.75,2.0,1.0021
d0b33bd8e7619e37,sat_near_regular_nonreg,21,8,4,0.732797,,0.0004,5.393735686995699,0.0326,5.393320557000228,0.0748,6.999999983870365,0.0033,9,0.0003,3.991556414494399,0.0169,,1.3484,1.3483,1.75,2.25,1.0021
