graph_id,source,n,d_max,alpha,c_log,hoffman,hoffman_t,theta,theta_t,theta_prime,theta_prime_t,chi_f,chi_f_t,clique_cover,clique_cover_t,hardcore,hardcore_t,hoffman_over_alpha,theta_over_alpha,theta_prime_over_alpha,chi_f_over_alpha,clique_cover_over_alpha,alpha_over_hardcore
388893a8eefe0516,brute_force,3,2,1,0.961797,1.0000000000000002,0.0006,0.9999999310074084,0.7063,0.9999999676447755,0.0042,1.000000000241774,0.0023,1,0.0001,0.9983361064891842,0.0011,1.0,1.0,1.0,1.0,1.0,1.0017
9397f79e4e86912f,brute_force,4,3,2,1.365359,,0.0001,1.9999999975601774,0.004,1.9999989888539467,0.0052,1.9999947442830748,0.0023,2,0.0001,1.9900743802675698,0.0014,,1.0,1.0,1.0,1.0,1.005
967670952879efcb,brute_force,5,3,2,1.092287,,0.0,1.9999822309863264,0.0045,2.0000029022153702,0.0054,2.000000016551453,0.0021,3,0.0002,1.9950149501743797,0.0023,,1.0,1.0,1.0,1.5,1.0025
13114571dd0ca30f,brute_force,6,3,2,0.910239,,0.0001,1.999996368323029,0.0076,1.9999920900768426,0.0066,2.000000002243092,0.0021,2,0.0002,1.996257794963281,0.0025,,1.0,1.0,1.0,1.0,1.0019
e9b9b2d08668631d,brute_force,7,4,2,0.824397,,0.0001,2.2360710935827646,0.0076,2.2360679785985305,0.0107,2.5000007868510856,0.002,3,0.0001,1.9965072334149687,0.0023,,1.118,1.118,1.25,1.5,1.0017
9bf19784dcba2a76,brute_force,8,4,2,0.721348,2.6666666666666665,0.0001,2.343146123699613,0.0099,2.3431446483599734,0.0089,2.666670142326525,0.0029,3,0.0001,1.996673594946857,0.0026,1.3333,1.1716,1.1716,1.3333,1.5,1.0017
6e37a400e7ecc097,brute_force,9,3,3,0.910239,,0.0001,2.9999917893413306,0.0083,2.9999775308626084,0.0096,2.999996081895598,0.002,3,0.0002,2.994593901452469,0.0049,,1.0,1.0,1.0,1.0,1.0018
22a88f2e556f1ff1,cayley_tabu,10,4,3,0.865617,3.5857017363628723,0.0002,3.1671833269401555,0.0131,3.1671832307071623,0.0207,3.333335515885208,0.0025,4,0.0002,2.9876052074318533,0.0038,1.1952,1.0557,1.0557,1.1111,1.3333,1.0041
2c3e71140dff24e8,cayley_tabu,11,4,3,0.786925,3.907361985586515,0.0002,3.4517961885139457,0.016,3.4517864691389573,0.0176,3.666668189540389,0.0027,5,0.0002,2.992531093159629,0.0055,1.3025,1.1506,1.1506,1.2222,1.6667,1.0025
24089de3c77778ec,cayley_tabu,12,5,3,0.776669,4.5,0.0002,3.4640951434202956,0.016,3.464110284709604,0.0196,3.999999998493467,0.0024,4,0.0002,2.9935912543798797,0.0042,1.5,1.1547,1.1547,1.3333,1.3333,1.0021
5cf33ba1860e4c4e,cayley,13,6,3,0.772769,3.605551275463991,0.0001,3.605538067381846,0.0189,3.6055484489961462,0.0156,4.3333364473305895,0.0025,5,0.0002,2.9925310957559685,0.0048,1.2019,1.2018,1.2018,1.4444,1.6667,1.0025
deb8b8e3b037c022,sat_exact,14,6,3,0.717571,,0.0001,3.7724196050072205,0.0389,3.76752057578853,0.0385,4.666670210652933,0.0032,5,0.0003,2.994579492386054,0.007,,1.2575,1.2558,1.5556,1.6667,1.0018
220d4fe79b1c3a63,sat_exact,15,7,3,0.719458,,0.0001,3.918462100961762,0.0188,3.918463524666416,0.0313,4.99999998977574,0.0025,6,0.0002,2.9945048038641304,0.0054,,1.3062,1.3062,1.6667,2.0,1.0018
880b0fb4383e5f23,cayley_tabu,16,4,4,0.721348,5.333333333333333,0.0001,4.686290538843863,0.0205,4.686291510254604,0.0242,5.333335116557139,0.0023,6,0.0002,3.9933471898936985,0.007,1.3333,1.1716,1.1716,1.3333,1.5,1.0017
616eac31100bc37e,cayley,17,8,3,0.678915,4.123105625617664,0.0002,4.123105744236,0.0283,4.123097880842451,0.0304,5.666678750662007,0.0031,7,0.0002,2.995012463349825,0.0066,1.3744,1.3744,1.3744,1.8889,2.3333,1.0017
82594daeae0dcfe3,cayley_tabu,18,6,4,0.744148,5.341904023737813,0.0002,5.004804511376339,0.0289,5.00480187597711,0.0376,6.00000458974694,0.0033,7,0.0002,3.990644115124308,0.0081,1.3355,1.2512,1.2512,1.5,1.75,1.0023
