saddle,method,n,a0,alpha_final,alpha_drop,steps_taken,first_drop_t,wasted_steps,wall_s,skipped
0,random,20,7,6,1,20,6,19,0.271,0
0,drop_alpha,20,7,5,2,20,2,18,0.446,0
0,drop_e_max,20,7,5,2,20,2,18,14.549,0
0,drop_l_hc,20,7,6,1,20,16,19,17.216,0
0,hardcore_comarg,20,7,5,2,20,2,18,0.401,0
0,sdp_X_uw,20,7,5,2,20,2,18,1.754,0
0,lp_xu_plus_xw,20,7,6,1,20,2,19,0.689,0
0,hoffman_grad,20,7,7,0,0,,0,0.016,1
1,random,20,7,6,1,20,16,19,0.32,0
1,drop_alpha,20,7,6,1,20,2,19,0.612,0
1,drop_e_max,20,7,5,2,20,2,18,13.937,0
1,drop_l_hc,20,7,7,0,20,,20,14.597,0
1,hardcore_comarg,20,7,5,2,20,2,18,0.334,0
1,sdp_X_uw,20,7,5,2,20,2,18,0.842,0
1,lp_xu_plus_xw,20,7,6,1,20,13,19,0.617,0
1,hoffman_grad,20,7,7,0,0,,0,0.015,1
2,random,20,7,6,1,20,15,19,0.264,0
2,drop_alpha,20,7,6,1,20,10,19,0.445,0
2,drop_e_max,20,7,5,2,20,2,18,11.726,0
2,drop_l_hc,20,7,7,0,20,,20,13.444,0
2,hardcore_comarg,20,7,5,2,20,2,18,0.394,0
2,sdp_X_uw,20,7,5,2,20,2,18,0.99,0
2,lp_xu_plus_xw,20,7,6,1,20,15,19,0.705,0
2,hoffman_grad,20,7,7,0,0,,0,0.015,1
3,random,20,7,6,1,20,19,19,0.308,0
3,drop_alpha,20,7,6,1,20,3,19,0.536,0
3,drop_e_max,20,7,5,2,20,2,18,16.523,0
3,drop_l_hc,20,7,7,0,20,,20,14.596,0
3,hardcore_comarg,20,7,5,2,20,2,18,0.374,0
3,sdp_X_uw,20,7,5,2,20,2,18,0.946,0
3,lp_xu_plus_xw,20,7,6,1,20,6,19,0.674,0
3,hoffman_grad,20,7,7,0,0,,0,0.015,1
4,random,20,7,5,2,20,2,18,0.309,0
4,drop_alpha,20,7,5,2,20,3,18,0.56,0
4,drop_e_max,20,7,5,2,20,2,18,15.48,0
4,drop_l_hc,20,7,6,1,20,6,19,13.731,0
4,hardcore_comarg,20,7,5,2,20,2,18,0.346,0
4,sdp_X_uw,20,7,5,2,20,2,18,0.942,0
4,lp_xu_plus_xw,20,7,5,2,20,4,18,0.606,0
4,hoffman_grad,20,7,7,0,0,,0,0.013,1
5,random,20,7,6,1,20,11,19,0.267,0
5,drop_alpha,20,7,6,1,20,8,19,0.476,0
5,drop_e_max,20,7,5,2,20,2,18,14.506,0
5,drop_l_hc,20,7,6,1,20,2,19,14.151,0
5,hardcore_comarg,20,7,5,2,20,2,18,0.345,0
5,sdp_X_uw,20,7,5,2,20,2,18,0.959,0
5,lp_xu_plus_xw,20,7,6,1,20,4,19,0.697,0
