saddle,predictor,spearman,n_added,n_critical,alpha_drop,top_in_added,top_critical,reason
0,sdp_X_uw,,20,0,2,1,0,
0,hardcore_comarg,,20,0,2,1,0,
0,drop_e_max,,20,0,2,0,0,
0,random,,20,0,2,0,0,
1,sdp_X_uw,0.179,20,1,2,1,0,
1,hardcore_comarg,0.3382,20,1,2,1,0,
1,drop_e_max,0.2586,20,1,2,0,0,
1,random,0.2188,20,1,2,0,0,
2,sdp_X_uw,0.4625,20,2,2,1,1,
2,hardcore_comarg,0.4625,20,2,2,0,0,
2,drop_e_max,0.4625,20,2,2,0,0,
2,random,0.1734,20,2,2,1,1,
3,sdp_X_uw,,20,0,2,1,0,
3,hardcore_comarg,,20,0,2,0,0,
3,drop_e_max,,20,0,2,1,0,
3,random,,20,0,2,0,0,
4,sdp_X_uw,-0.0578,20,2,2,1,0,
4,hardcore_comarg,-0.0578,20,2,2,1,0,
4,drop_e_max,-0.2601,20,2,2,0,0,
4,random,0.0,20,2,2,0,0,
5,sdp_X_uw,,20,0,2,1,0,
5,hardcore_comarg,,20,0,2,1,0,
5,drop_e_max,,20,0,2,1,0,
5,random,,20,0,2,0,0,
6,sdp_X_uw,,20,0,2,1,0,
6,hardcore_comarg,,20,0,2,1,0,
6,drop_e_max,,20,0,2,0,0,
6,random,,20,0,2,1,0,
7,sdp_X_uw,-0.0995,20,1,2,1,0,
7,hardcore_comarg,-0.179,20,1,2,1,0,
7,drop_e_max,-0.0597,20,1,2,1,0,
7,random,-0.0995,20,1,2,0,0,
8,sdp_X_uw,,20,0,2,1,0,
8,hardcore_comarg,,20,0,2,1,0,
8,drop_e_max,,20,0,2,0,0,
8,random,,20,0,2,0,0,
9,sdp_X_uw,0.2188,20,1,3,1,0,
9,hardcore_comarg,0.179,20,1,3,1,0,
9,drop_e_max,0.3382,20,1,3,0,0,
9,random,-0.378,20,1,3,0,0,
10,sdp_X_uw,0.0597,20,1,2,1,0,
10,hardcore_comarg,0.1393,20,1,2,1,0,
10,drop_e_max,0.2586,20,1,2,1,0,
10,random,0.0995,20,1,2,0,0,
11,sdp_X_uw,0.1393,20,1,2,1,0,
11,hardcore_comarg,0.2986,20,1,2,1,0,
11,drop_e_max,0.2586,20,1,2,0,0,
11,random,0.2586,20,1,2,0,0,
12,sdp_X_uw,,20,0,2,1,0,
12,hardcore_comarg,,20,0,2,0,0,
12,drop_e_max,,20,0,2,0,0,
12,random,,20,0,2,0,0,
13,sdp_X_uw,,20,0,2,1,0,
13,hardcore_comarg,,20,0,2,1,0,
13,drop_e_max,,20,0,2,1,0,
13,random,,20,0,2,0,0,
14,sdp_X_uw,,20,0,2,1,0,
14,hardcore_comarg,,20,0,2,1,0,
14,drop_e_max,,20,0,2,1,0,
14,random,,20,0,2,1,0,
