graph_id,label,kind,n,m,alpha,drop_alpha_min,drop_alpha_max,drop_alpha_nonzero,spearman_drop_e_max,drop_e_max_t,spearman_drop_l_hc,drop_l_hc_t,spearman_lp_dual,lp_dual_t,spearman_sdp_dual,sdp_dual_t,spearman_hoffman_grad,hoffman_grad_t
616eac31100bc37e,Paley(17),frontier,17,68,3,1,1,68,,0.538,,0.476,,1.024,,0.043,,0.0
6a8d281aabad2908,CR(19),frontier,19,57,4,1,1,57,,0.596,,0.447,,0.019,,0.031,,0.0
6a8d281aabad2908+1,CR(19) (+1 edge),perturbed,19,58,4,0,1,57,0.22692228391451588,0.573,-0.22964251244508896,0.475,0.22550768238156696,0.018,0.22549380840084865,0.027,,0.0
aa356a092d0eb4fc,n=22 cayley,frontier,22,88,4,1,1,88,,1.025,,0.96,,0.023,,0.05,,0.0
aa356a092d0eb4fc+1,n=22 cayley (+1 edge),perturbed,22,89,4,0,1,88,0.18273524675279604,1.053,0.1827329094917786,0.968,0.18258351107375875,0.025,0.18257496288370795,0.039,,0.0
94aba0c67d46d31a,n=21 cayley_gap,frontier,21,84,4,1,1,84,,0.924,,0.793,,0.024,,0.039,,0.0
9bf19784dcba2a76,n=8 brute,frontier,8,16,2,1,1,16,,0.053,,0.051,,0.006,,0.009,,0.0
9bf19784dcba2a76+1,n=8 brute (+1 edge),perturbed,8,17,2,0,1,16,0.4205390064153087,0.04,0.41282691913549835,0.045,0.408498672756928,0.005,0.408248290463863,0.006,,0.0
deb8b8e3b037c022,n=14 sat_exact,frontier,14,41,3,1,1,41,,0.172,,0.173,,0.008,,0.033,,0.0
deb8b8e3b037c022+1,n=14 sat_exact (+1 edge),perturbed,14,42,3,0,1,41,0.26433883613444725,0.179,0.25125062448804386,0.174,0.26413527189768715,0.009,0.26413527189768715,0.012,,0.0
c74fc2e2b3c8a27d,n=14 sat_near,frontier,14,41,3,1,1,41,,1.531,,0.175,,0.008,,0.012,,0.0
c74fc2e2b3c8a27d+1,n=14 sat_near (+1 edge),perturbed,14,42,3,0,1,41,0.2645106241858108,0.184,0.04509626593375146,0.176,0.2383659770784006,0.008,0.26413527189768715,0.012,,0.0
220d4fe79b1c3a63,n=15 sat_near,frontier,15,51,3,1,1,51,,0.241,,0.24,,0.01,,0.013,,0.0
220d4fe79b1c3a63+1,n=15 sat_near (+1 edge),perturbed,15,52,3,0,1,50,0.33337607659610224,0.24,0.0,0.235,0.2531927097680524,0.01,0.2731816079076355,0.015,,0.0
d76f4a61474cfb29,n=20 sat_exact,frontier,20,70,4,1,1,70,,0.51,,0.463,,0.015,,0.023,,0.0
d76f4a61474cfb29+1,n=20 sat_exact (+1 edge),perturbed,20,71,4,0,1,70,0.2041463958001909,0.528,-0.11081025026876282,0.474,0.2041241452319315,0.036,0.2041241452319315,0.022,,0.0
c85eb47ebbd5a012,n=25 sat_exact,frontier,25,85,5,1,1,85,,1.057,,0.692,,0.016,,0.03,,0.0
c85eb47ebbd5a012+1,n=25 sat_exact (+1 edge),perturbed,25,86,5,0,1,85,0.18569533817705186,1.064,-0.03277162069806607,0.702,0.18569533817705186,0.034,0.18569533817705186,0.032,,0.0
