n,saddle,method,t,alpha,alpha_drop,m0,skipped
15,0,random,0,6,0,32,0
15,0,random,1,6,0,32,0
15,0,random,2,6,0,32,0
15,0,random,3,6,0,32,0
15,0,random,4,5,1,32,0
15,0,random,5,5,1,32,0
15,0,random,6,5,1,32,0
15,0,random,7,5,1,32,0
15,0,random,8,5,1,32,0
15,0,random,9,5,1,32,0
15,0,random,10,5,1,32,0
15,0,random,11,5,1,32,0
15,0,random,12,5,1,32,0
15,0,random,13,5,1,32,0
15,0,random,14,5,1,32,0
15,0,random,15,5,1,32,0
15,0,random,16,5,1,32,0
15,0,random,17,5,1,32,0
15,0,random,18,5,1,32,0
15,0,random,19,5,1,32,0
15,0,random,20,5,1,32,0
15,0,drop_alpha,0,6,0,32,0
15,0,drop_alpha,1,6,0,32,0
15,0,drop_alpha,2,5,1,32,0
15,0,drop_alpha,3,5,1,32,0
15,0,drop_alpha,4,5,1,32,0
15,0,drop_alpha,5,5,1,32,0
15,0,drop_alpha,6,5,1,32,0
15,0,drop_alpha,7,5,1,32,0
15,0,drop_alpha,8,5,1,32,0
15,0,drop_alpha,9,5,1,32,0
15,0,drop_alpha,10,5,1,32,0
15,0,drop_alpha,11,5,1,32,0
15,0,drop_alpha,12,5,1,32,0
15,0,drop_alpha,13,5,1,32,0
15,0,drop_alpha,14,5,1,32,0
15,0,drop_alpha,15,5,1,32,0
15,0,drop_alpha,16,4,2,32,0
15,0,drop_alpha,17,4,2,32,0
15,0,drop_alpha,18,4,2,32,0
15,0,drop_alpha,19,4,2,32,0
15,0,drop_alpha,20,4,2,32,0
15,0,hardcore_comarg,0,6,0,32,0
15,0,hardcore_comarg,1,6,0,32,0
15,0,hardcore_comarg,2,5,1,32,0
15,0,hardcore_comarg,3,5,1,32,0
15,0,hardcore_comarg,4,5,1,32,0
15,0,hardcore_comarg,5,5,1,32,0
15,0,hardcore_comarg,6,5,1,32,0
15,0,hardcore_comarg,7,5,1,32,0
15,0,hardcore_comarg,8,4,2,32,0
15,0,hardcore_comarg,9,4,2,32,0
15,0,hardcore_comarg,10,4,2,32,0
15,0,hardcore_comarg,11,4,2,32,0
15,0,hardcore_comarg,12,4,2,32,0
15,0,hardcore_comarg,13,4,2,32,0
15,0,hardcore_comarg,14,4,2,32,0
15,0,hardcore_comarg,15,4,2,32,0
15,0,hardcore_comarg,16,4,2,32,0
15,0,hardcore_comarg,17,4,2,32,0
15,0,hardcore_comarg,18,4,2,32,0
15,0,hardcore_comarg,19,4,2,32,0
15,0,hardcore_comarg,20,4,2,32,0
15,0,sdp_X_uw,0,6,0,32,0
15,0,sdp_X_uw,1,6,0,32,0
15,0,sdp_X_uw,2,5,1,32,0
15,0,sdp_X_uw,3,5,1,32,0
