n,saddle,method,a0,alpha_final,alpha_drop,steps_taken,first_drop_t,wasted_steps,wall_s,skipped
15,0,random,6,5,1,20,4,19,0.2,0
15,0,drop_alpha,6,4,2,20,2,18,0.328,0
15,0,hardcore_comarg,6,4,2,20,2,18,0.23,0
15,0,sdp_X_uw,6,4,2,20,2,18,2.988,0
15,0,lp_xu_plus_xw,6,5,1,20,9,19,0.701,0
15,0,hoffman_grad,6,6,0,0,,0,0.018,1
15,0,drop_e_max,6,4,2,20,2,18,9.825,0
15,0,drop_l_hc,6,6,0,20,,20,10.206,0
15,1,random,6,5,1,20,7,19,0.187,0
15,1,drop_alpha,6,4,2,20,4,18,0.429,0
15,1,hardcore_comarg,6,4,2,20,2,18,0.278,0
15,1,sdp_X_uw,6,4,2,20,2,18,0.931,0
15,1,lp_xu_plus_xw,6,5,1,20,14,19,0.543,0
15,1,hoffman_grad,6,6,0,0,,0,0.009,1
15,1,drop_e_max,6,4,2,20,2,18,8.882,0
15,1,drop_l_hc,6,5,1,20,3,19,11.453,0
15,2,random,6,5,1,20,10,19,0.187,0
15,2,drop_alpha,6,5,1,20,2,19,0.347,0
15,2,hardcore_comarg,6,4,2,20,2,18,0.236,0
15,2,sdp_X_uw,6,4,2,20,2,18,1.06,0
15,2,lp_xu_plus_xw,6,4,2,20,4,18,0.683,0
15,2,hoffman_grad,6,6,0,0,,0,0.011,1
15,2,drop_e_max,6,4,2,20,2,18,7.352,0
15,2,drop_l_hc,6,5,1,20,2,19,8.134,0
15,3,random,6,6,0,20,,20,0.162,0
15,3,drop_alpha,6,4,2,20,7,18,0.248,0
15,3,hardcore_comarg,6,4,2,20,2,18,0.193,0
15,3,sdp_X_uw,6,4,2,20,2,18,0.761,0
15,3,lp_xu_plus_xw,6,5,1,20,4,19,0.49,0
15,3,hoffman_grad,6,6,0,0,,0,0.009,1
15,3,drop_e_max,6,4,2,20,2,18,6.322,0
15,3,drop_l_hc,6,6,0,20,,20,9.317,0
15,4,random,6,5,1,20,9,19,0.154,0
15,4,drop_alpha,6,4,2,20,2,18,0.259,0
15,4,hardcore_comarg,6,4,2,20,2,18,0.18,0
15,4,sdp_X_uw,6,4,2,20,2,18,0.676,0
15,4,lp_xu_plus_xw,6,4,2,20,2,18,0.525,0
15,4,hoffman_grad,6,6,0,0,,0,0.008,1
15,4,drop_e_max,6,4,2,20,2,18,6.702,0
15,4,drop_l_hc,6,5,1,20,3,19,8.359,0
15,5,random,6,5,1,20,12,19,0.157,0
15,5,drop_alpha,6,4,2,20,3,18,0.279,0
15,5,hardcore_comarg,6,4,2,20,2,18,0.192,0
15,5,sdp_X_uw,6,4,2,20,2,18,0.735,0
15,5,lp_xu_plus_xw,6,4,2,20,6,18,0.522,0
15,5,hoffman_grad,6,6,0,0,,0,0.011,1
15,5,drop_e_max,6,4,2,20,2,18,8.039,0
15,5,drop_l_hc,6,6,0,20,,20,8.008,0
15,6,random,6,5,1,20,11,19,0.173,0
15,6,drop_alpha,6,4,2,20,5,18,0.265,0
15,6,hardcore_comarg,6,4,2,20,2,18,0.183,0
15,6,sdp_X_uw,6,4,2,20,2,18,0.756,0
15,6,lp_xu_plus_xw,6,4,2,20,4,18,0.45,0
15,6,hoffman_grad,6,6,0,0,,0,0.008,1
