graph_id,source,n,d_max,alpha,c_log,E_max,L_HC,local_t,alpha_over_L_HC,alpha_over_E_max,L_HC_over_E_max,L_HC_over_alpha
388893a8eefe0516,brute_force,3,2,1,0.961797,0.9983361064891842,0.9983361064891854,0.0013,1.0017,1.0017,1.0,0.9983
9397f79e4e86912f,brute_force,4,3,2,1.365359,1.9900743802675698,1.1669166253621543,0.0014,1.7139,1.005,0.5864,0.5835
967670952879efcb,brute_force,5,3,2,1.092287,1.9950149501743797,1.2832488685183063,0.0018,1.5585,1.0025,0.6432,0.6416
13114571dd0ca30f,brute_force,6,3,2,0.910239,1.996257794963281,1.3946057325533678,0.0018,1.4341,1.0019,0.6986,0.6973
e9b9b2d08668631d,brute_force,7,4,2,0.824397,1.9965072334149687,1.0591523102186036,0.0025,1.8883,1.0017,0.5305,0.5296
9bf19784dcba2a76,brute_force,8,4,2,0.721348,1.996673594946857,0.9451601885916681,0.0081,2.116,1.0017,0.4734,0.4726
6e37a400e7ecc097,brute_force,9,3,3,0.910239,2.994593901452469,2.3415033695177945,0.0027,1.2812,1.0018,0.7819,0.7805
22a88f2e556f1ff1,cayley_tabu,10,4,3,0.865617,2.9876052074318533,1.181450235739585,0.003,2.5393,1.0041,0.3955,0.3938
2c3e71140dff24e8,cayley_tabu,11,4,3,0.786925,2.992531093159629,1.2995952593135436,0.0051,2.3084,1.0025,0.4343,0.4332
24089de3c77778ec,cayley_tabu,12,5,3,0.776669,2.9935912543798797,1.0285625610474887,0.0042,2.9167,1.0021,0.3436,0.3429
5cf33ba1860e4c4e,cayley,13,6,3,0.772769,2.9925310957559685,0.9842639283553993,0.0046,3.048,1.0025,0.3289,0.3281
deb8b8e3b037c022,sat_exact,14,6,3,0.717571,2.994579492386054,1.0762065802865006,0.0101,2.7876,1.0018,0.3594,0.3587
220d4fe79b1c3a63,sat_exact,15,7,3,0.719458,2.9945048038641304,1.000620983688955,0.0121,2.9981,1.0018,0.3342,0.3335
880b0fb4383e5f23,cayley_tabu,16,4,4,0.721348,3.9933471898936985,1.8903203771833361,0.0128,2.116,1.0017,0.4734,0.4726
616eac31100bc37e,cayley,17,8,3,0.678915,2.995012463349825,0.9742204272824049,0.0096,3.0794,1.0017,0.3253,0.3247
82594daeae0dcfe3,cayley_tabu,18,6,4,0.744148,3.990644115124308,1.36282697772286,0.0087,2.9351,1.0023,0.3415,0.3407
6a8d281aabad2908,cayley,19,6,4,0.704982,3.99190339000276,1.4385395875963523,0.0071,2.7806,1.002,0.3604,0.3596
18147bf6fda98e69,cayley_tabu,20,7,4,0.719458,3.9927965478536724,1.210901711261592,0.0165,3.3033,1.0018,0.3033,0.3027
8812a7612418bc72,cayley_tabu,21,8,4,0.732797,3.9912250567221377,1.1313470654096325,0.0092,3.5356,1.0022,0.2835,0.2828
aa356a092d0eb4fc,cayley_tabu,22,8,4,0.699489,3.9931987115978216,1.1852207351910435,0.009,3.3749,1.0017,0.2968,0.2963
92ceb7fdfc261844,server_sat_exact,23,4,6,0.75271,5.989467842575919,2.85516020757396,0.0083,2.1015,1.0018,0.4767,0.4759
3c9b2c4e75c6113b,cayley_tabu,24,4,6,0.721348,5.9900207848406115,2.835480565775004,0.0122,2.116,1.0017,0.4734,0.4726
c85eb47ebbd5a012,sat_exact,25,7,5,0.719458,4.990854938686672,1.6058186309784899,0.0098,3.1137,1.0018,0.3218,0.3212
f7da038cfe9e2836,server_sat_exact,26,8,5,0.739844,4.98969093542272,1.4738477930342981,0.015,3.3925,1.0021,0.2954,0.2948
5f74759cb56822ac,server_sat_exact,27,6,6,0.744148,5.989226541521868,2.1897274469719656,0.0109,2.7401,1.0018,0.3656,0.365
4f05db43a7cdc585,disjoint_lift,28,6,6,0.717571,5.9891589847720805,2.152413160573001,0.012,2.7876,1.0018,0.3594,0.3587
96a8b9b279e443b1,server_sat_exact,29,7,6,0.744267,5.988871167716927,1.9166009695885664,0.0137,3.1305,1.0019,0.32,0.3194
23b1201006a79ba7,disjoint_lift,30,7,6,0.719458,5.989009607728261,2.00124196737791,0.012,2.9981,1.0018,0.3342,0.3335
724a4a4f740b08f1,cayley_tabu,31,12,5,0.778896,4.988572562136746,1.114495313000304,0.0254,4.4863,1.0023,0.2234,0.2229
43adfd124f62a42c,cayley_tabu,32,4,8,0.721348,7.986694379787425,3.7806407543666722,0.0387,2.116,1.0017,0.4734,0.4726
342a5944c3516cbe,cayley_tabu,33,12,5,0.73169,4.990195042951444,1.1703534448067225,0.029,4.2722,1.002,0.2345,0.2341
2a7d3786d6094bbd,cayley_tabu,34,8,6,0.678915,5.990024926699653,1.9484408545648093,0.0154,3.0794,1.0017,0.3253,0.3247
aa1f95491a85cac9,circulant,35,4,10,0.824397,9.975088930032195,4.135075825088547,0.0175,2.4183,1.0025,0.4145,0.4135
36f64e06d3c7c839,cayley_tabu_gap,36,10,6,0.723824,5.987768601627949,1.5363327780732463,0.018,3.9054,1.002,0.2566,0.2561
a3947d1973383075,cayley,37,6,9,0.81454,8.962322120911367,2.8013665653192135,0.0133,3.2127,1.0042,0.3126,0.3113
beac5c7bb4db9fd5,cayley_tabu,38,6,8,0.704982,7.9838067800055414,2.877079175192706,0.0159,2.7806,1.002,0.3604,0.3596
f2185c3aca5cd3e8,cayley_tabu,39,6,9,0.772769,8.977593287267837,2.952791785066198,0.017,3.048,1.0025,0.3289,0.3281
36a71791a7ba7166,cayley_tabu_gap,40,7,8,0.719458,7.985593095707378,2.4218034225231837,0.0195,3.3033,1.0018,0.3033,0.3027
0530dd276443942d,cayley_tabu,41,14,6,0.77633,5.985687559609467,1.250054469134541,0.0258,4.7998,1.0024,0.2088,0.2083
60905b872d6a77d5,disjoint_lift,42,6,9,0.717571,8.983738477158218,3.2286197408595023,0.0168,2.7876,1.0018,0.3594,0.3587
3b20d20057446988,circulant_fast,43,10,8,0.80799,7.978820344038543,1.7485323288436274,0.0242,4.5753,1.0027,0.2191,0.2186
a00aa668435bb667,cayley_tabu,44,8,8,0.699489,7.98639742319565,2.370441470382087,0.019,3.3749,1.0017,0.2968,0.2963
bac9acce4aedf043,disjoint_lift,45,7,9,0.719458,,3.0018629510668684,0.0174,2.9981,,,0.3335
8fd1009809fd77ee,cayley_tabu,46,16,6,0.75271,,1.2288849964223538,0.0328,4.8825,,,0.2048
f1829f22e28cbcf3,circulant_fast,47,12,8,0.821984,,1.61058411295656,0.028,4.9671,,,0.2013
5a0f54dfe475babb,cayley_tabu_gap,48,4,12,0.721348,,5.670961131550014,0.0156,2.116,,,0.4726
49118ac41e0a66d0,circulant_fast,49,12,8,0.788434,,1.7257819049159568,0.029,4.6356,,,0.2157
30f85de18b277cb6,cayley_tabu,50,6,12,0.803679,,3.7856304936746143,0.0179,3.1699,,,0.3155
a281ac166fde78c6,cayley_tabu,51,8,9,0.678915,,2.9226612818472137,0.02,3.0794,,,0.3247
75a7bef5257dadf1,cayley_tabu,52,6,12,0.772769,,3.8826129323209266,0.0191,3.0907,,,0.3236
f5c0ecac7fd0653e,circulant_fast,53,14,8,0.800743,,1.5613727061870144,0.042,5.1237,,,0.1952
ab5b7440e9e88125,cayley_tabu,54,6,12,0.744148,,4.088480933168584,0.0252,2.9351,,,0.3407
fd67022175063a96,cayley_tabu,55,4,15,0.786925,,6.497976296567726,0.0182,2.3084,,,0.4332
d1fa14d039db530b,disjoint_lift,56,6,12,0.717571,,4.304826321146001,0.021,2.7876,,,0.3587
1814d18bb343bf25,cayley_tabu,57,6,12,0.704982,,4.315618762789061,0.0222,2.7806,,,0.3596
f48a87854d3e14d7,cayley_tabu,58,16,8,0.79597,,1.4870609874644367,0.0538,5.3797,,,0.1859
b18b41e2a0f86def,cayley_tabu,59,16,8,0.782479,,1.512699970006927,0.0534,5.2886,,,0.1891
92b82ff6782f83d5,cayley_tabu,60,7,12,0.719458,,3.6327051337847753,0.0261,3.3033,,,0.3027
306c877214cbce07,sat_circulant_optimal,61,10,12,0.85435,,2.4804760944060735,0.0334,4.8378,,,0.2067
a08f22769c20b154,sat_circulant_optimal,62,12,10,0.778896,,2.228990626000608,0.0315,4.4863,,,0.2229
a971505c1d077209,cayley_tabu,63,8,12,0.732797,,3.394041196228897,0.033,3.5356,,,0.2828
6b5c735ce7b8ce7a,cayley_tabu,64,4,16,0.721348,,7.561281508733357,0.0224,2.116,,,0.4726
5c8b94aefa817a4e,cayley_tabu,65,6,15,0.772769,,4.853266165401158,0.0245,3.0907,,,0.3236
f2f3415534fbfa30,cayley_tabu,66,8,12,0.699489,,3.5556622055731304,0.0285,3.3749,,,0.2963
166c02c659ac339a,cayley,67,22,8,0.849832,,1.2960468987345157,0.0987,6.1726,,,0.162
a91760afebfd2a58,cayley_tabu,68,8,12,0.678915,,3.896881709129618,0.0355,3.0794,,,0.3247
1c7700e38ba5b1fa,disjoint_lift,69,4,18,0.75271,,8.565480622721893,0.0313,2.1015,,,0.4759
7754aad0ab36b12f,disjoint_lift,70,6,15,0.717571,,5.3810329014325005,0.0268,2.7876,,,0.3587
a303322b3821ca1c,sat_circulant_optimal,71,12,13,0.884212,,2.455027760075755,0.0427,5.2953,,,0.1888
63917d7f1fdb5aed,cayley_tabu,72,4,18,0.721348,,8.506441697325029,0.0223,2.116,,,0.4726
54acdb1a1d0b1313,sat_circulant_optimal,73,10,15,0.892386,,3.1868171424090113,0.035,4.7069,,,0.2125
0b03c97e62d588eb,circulant_fast,74,6,18,0.81454,,5.602733130638431,0.0315,3.2127,,,0.3113
bc83750fc93a81c3,disjoint_lift,75,7,15,0.719458,,5.003104918444772,0.0319,2.9981,,,0.3335
2b57c226dff11457,cayley_tabu,76,6,16,0.704982,,5.754158350385416,0.0335,2.7806,,,0.3596
8d50dcb97bebb558,cayley_tabu_gap,77,4,21,0.786925,,9.097166815194823,0.0313,2.3084,,,0.4332
49ababfc6663ebef,cayley_tabu_gap,78,6,18,0.772769,,5.82391939848139,0.0283,3.0907,,,0.3236
5f0be0c4bb996eef,sat_circulant_optimal,79,10,16,0.879584,,3.336001381416176,0.0409,4.7962,,,0.2085
da8cc0ede5f6cb7d,cayley_tabu_gap,80,7,16,0.719458,,4.843606845046367,0.0432,3.3033,,,0.3027
40cb8afc1d6131af,sat_circulant_optimal,81,10,15,0.804249,,3.577817264734858,0.0366,4.1925,,,0.2385
0efedf7e478a5fe5,disjoint_lift,82,14,12,0.77633,,2.5001089382690793,0.0597,4.7998,,,0.2083
92d4298d15477cd0,circulant_fast,83,8,20,0.927033,,4.271174333077595,0.0385,4.6826,,,0.2136
f9507451e64ff7ce,disjoint_lift,84,6,18,0.717571,,6.4572394817189975,0.0334,2.7876,,,0.3587
e6b38e78ed5e386b,cayley_tabu_gap,85,8,15,0.678915,,4.87110213641203,0.0336,3.0794,,,0.3247
d16477ce1cdad7a2,cayley_tabu_gap,86,10,16,0.80799,,3.497064657687247,0.0532,4.5753,,,0.2186
a8999ac3dc7058e9,cayley_tabu_gap,87,8,18,0.79597,,4.734429512489312,0.0386,3.8019,,,0.263
d776ba9568caedbc,cayley_tabu_gap,88,8,16,0.699489,,4.740882940764174,0.0399,3.3749,,,0.2963
908327a87d829cea,sat_circulant_optimal,89,12,16,0.868163,,3.1345834599493863,0.0556,5.1043,,,0.1959
215e76f1fed22266,disjoint_lift,90,7,18,0.719458,,6.003725902133721,0.0342,2.9981,,,0.3335
59628ce7881a29d7,circulant_fast,91,6,21,0.772769,,6.794572631561622,0.0335,3.0907,,,0.3236
0ca7f7d74b1d2256,cayley_tabu_gap,92,16,12,0.75271,,2.4577699928447108,0.0724,4.8825,,,0.2048
b433ebf03c4de457,cayley_tabu_gap,93,12,15,0.778896,,3.3434859390009115,0.0553,4.4863,,,0.2229
e6734ef84785d494,sat_circulant_optimal,94,12,16,0.821984,,3.2211682259131273,0.0624,4.9671,,,0.2013
206fdbe8884f4d4a,circulant_fast,95,6,20,0.704982,,7.192697937981771,0.038,2.7806,,,0.3596
7e759b38a5e42aa4,circulant_fast,96,4,24,0.721348,,11.341922263100043,0.0342,2.116,,,0.4726
02cde69c3dd1f989,sat_circulant_optimal,97,10,20,0.895453,,3.944363625530963,0.0544,5.0705,,,0.1972
bc6f7121c6135adb,disjoint_lift,98,6,21,0.717571,,7.533446062005497,0.0389,2.7876,,,0.3587
8f4292ca043f58c3,sat_circulant_optimal,99,12,15,0.73169,,3.5110603344201676,0.0612,4.2722,,,0.2341
52ac1befa31b46a0,disjoint_lift,100,7,20,0.719458,,6.054508556307959,0.0463,3.3033,,,0.3027
