method,N,d_cap,d_max,d_min,d_mean,d_var,alpha,alpha_timed_out,greedy_mis,c,time_s
method1,5,3,3,2,2.8,0.16,2,0,2,1.0923,0.0
method1,6,3,3,3,3.0,0.0,2,0,2,0.9102,0.0
method1,7,3,3,2,2.857,0.122,3,0,3,1.1703,0.0
method1,8,3,3,3,3.0,0.0,3,0,3,1.024,0.0
method1,9,4,4,2,3.778,0.395,3,0,3,0.9618,0.0
method1,10,4,4,2,3.6,0.44,3,0,3,0.8656,0.0
method1,11,5,5,4,4.909,0.083,3,0,3,0.8473,0.0
method1,12,3,3,3,3.0,0.0,4,0,4,0.9102,0.0
method1,13,4,4,4,4.0,0.0,4,0,4,0.8878,0.0
method1,14,6,6,6,6.0,0.0,4,0,4,0.9568,0.0
method1,15,4,4,4,4.0,0.0,5,0,5,0.9618,0.0
method1,16,3,3,2,2.875,0.109,6,0,6,1.024,0.0
method1,17,5,5,4,4.941,0.055,5,0,5,0.9137,0.0
method1,18,4,4,3,3.889,0.099,6,0,6,0.9618,0.0
method1,19,5,5,4,4.947,0.05,6,0,6,0.9811,0.0
method1,20,8,8,7,7.9,0.09,5,0,5,0.9618,0.0
method2,5,3,3,1,1.6,0.64,3,0,3,1.6384,0.0
method2,6,3,3,1,1.667,0.556,3,0,3,1.3654,0.0
method2,7,3,3,1,2.0,0.286,3,0,3,1.1703,0.0
method2,8,3,4,1,1.75,0.938,4,0,4,1.4427,0.0
method2,9,3,4,1,2.222,1.062,4,0,4,1.2824,0.0
method2,10,3,4,1,2.4,1.04,5,0,5,1.4427,0.0
method2,11,3,4,1,2.545,0.793,5,0,5,1.3115,0.0
method2,12,5,5,1,4.0,2.167,5,0,5,1.2944,0.01
method2,13,5,5,2,4.308,1.136,5,0,5,1.1949,0.02
method2,14,5,5,3,4.571,0.531,5,0,5,1.1095,0.05
method2,15,6,6,4,5.6,0.507,5,0,5,1.1162,0.06
method2,16,8,8,6,7.5,0.5,4,0,4,0.9618,0.09
method2,17,8,8,7,7.765,0.18,5,0,4,1.1315,0.23
method2,18,8,8,5,7.667,0.667,5,0,5,1.0687,0.28
method2,19,3,4,2,3.053,0.155,8,0,8,1.2149,0.04
method2,20,10,10,8,9.6,0.34,5,0,5,1.0857,0.49
method2r,5,3,3,2,2.8,0.16,2,0,2,1.0923,0.0
method2r,6,3,3,3,3.0,0.0,2,0,2,0.9102,0.0
method2r,7,3,3,2,2.857,0.122,3,0,3,1.1703,0.0
method2r,8,3,4,2,3.0,0.25,3,0,3,1.082,0.0
method2r,9,4,4,2,3.778,0.395,3,0,3,0.9618,0.0
method2r,10,3,4,2,3.0,0.2,4,0,4,1.1542,0.0
method2r,11,3,4,2,2.909,0.264,4,0,4,1.0492,0.0
method2r,12,5,5,2,4.667,0.722,4,0,4,1.0356,0.01
method2r,13,5,5,4,4.923,0.071,4,0,4,0.9559,0.03
method2r,14,5,5,5,5.0,0.0,5,0,5,1.1095,0.03
method2r,15,6,6,5,5.867,0.116,5,0,4,1.1162,0.05
method2r,16,8,8,6,7.875,0.234,4,0,4,0.9618,0.09
method2r,17,8,8,7,7.765,0.18,5,0,4,1.1315,0.19
method2r,18,8,8,5,7.667,0.667,5,0,5,1.0687,0.27
method2r,19,3,4,2,3.053,0.155,8,0,8,1.2149,0.04
method2r,20,10,10,8,9.6,0.34,5,0,5,1.0857,0.5
method3,5,3,3,2,2.8,0.16,2,0,2,1.0923,0.0
method3,6,3,3,2,2.667,0.222,2,0,2,0.9102,0.0
method3,7,3,3,2,2.857,0.122,3,0,3,1.1703,0.0
method3,8,3,3,2,2.75,0.188,3,0,3,1.024,0.0
method3,9,3,3,2,2.889,0.099,3,0,3,0.9102,0.0
method3,10,4,4,3,3.8,0.16,3,0,3,0.8656,0.0
method3,11,3,3,2,2.909,0.083,4,0,4,0.993,0.0
method3,12,4,4,3,3.833,0.139,4,0,4,0.9618,0.01
method3,13,6,6,6,6.0,0.0,4,0,3,1.0304,0.02
method3,14,4,4,3,3.857,0.122,5,0,5,1.0305,0.02
method3,15,4,4,3,3.867,0.116,5,0,5,0.9618,0.02
method3,16,5,5,4,4.875,0.109,5,0,5,0.9708,0.02
method3,17,6,6,5,5.765,0.18,5,0,5,0.9849,0.03
method3,18,4,4,4,4.0,0.0,6,0,6,0.9618,0.05
method3,19,4,4,4,4.0,0.0,7,0,6,1.063,0.03
method3,20,4,4,3,3.9,0.09,7,0,7,1.0099,0.04
method3b,5,3,3,2,2.8,0.16,2,0,2,1.0923,0.0
method3b,6,3,3,2,2.667,0.222,2,0,2,0.9102,0.0
method3b,7,3,3,2,2.857,0.122,3,0,3,1.1703,0.0
method3b,8,3,3,2,2.75,0.188,3,0,3,1.024,0.0
method3b,9,3,3,2,2.889,0.099,3,0,3,0.9102,0.0
method3b,10,4,4,3,3.8,0.16,3,0,3,0.8656,0.01
method3b,11,3,3,2,2.909,0.083,4,0,4,0.993,0.0
method3b,12,4,4,3,3.833,0.139,4,0,4,0.9618,0.01
method3b,13,6,6,6,6.0,0.0,4,0,3,1.0304,0.02
method3b,14,6,6,5,5.857,0.122,4,0,4,0.9568,0.02
method3b,15,4,4,3,3.867,0.116,5,0,5,0.9618,0.02
method3b,16,5,5,4,4.875,0.109,5,0,5,0.9708,0.02
method3b,17,6,6,5,5.765,0.18,5,0,5,0.9849,0.05
method3b,18,4,4,4,4.0,0.0,6,0,6,0.9618,0.04
method3b,19,4,4,4,4.0,0.0,7,0,6,1.063,0.04
method3b,20,4,4,3,3.9,0.09,7,0,7,1.0099,0.04
method4,5,3,3,2,2.8,0.16,2,0,2,1.0923,0.0
method4,6,3,3,2,2.667,0.222,2,0,2,0.9102,0.0
method4,7,3,3,2,2.857,0.122,3,0,3,1.1703,0.0
method4,8,3,3,2,2.75,0.188,3,0,3,1.024,0.0
method4,9,3,3,2,2.889,0.099,3,0,3,0.9102,0.0
method4,10,4,4,3,3.8,0.16,3,0,3,0.8656,0.01
method4,11,3,3,2,2.909,0.083,4,0,4,0.993,0.0
