method1,method2,N,jaccard_canonical,isomorphic,deg_seq_L1_norm,c1,c2,c_gap
method1,method2,6,0.1667,0,1.3333,0.9102,1.3654,0.4552
method1,method2,7,0.2143,0,0.8571,1.1703,1.1703,0.0
method1,method2,8,0.1875,0,1.5,1.024,1.4427,0.4187
method1,method2,9,0.35,0,1.5556,0.9618,1.2824,0.3206
method1,method2,10,0.1111,0,1.2,0.8656,1.4427,0.5771
method1,method2,11,0.2424,0,2.3636,0.8473,1.3115,0.4642
method1,method2,12,0.1351,0,1.6667,0.9102,1.2944,0.3842
method1,method2,13,0.2,0,0.9231,0.8878,1.1949,0.3071
method1,method2,14,0.3214,0,1.4286,0.9568,1.1095,0.1527
method1,method2,15,0.3091,0,1.6,0.9618,1.1162,0.1544
method1,method2,16,0.1216,0,4.625,1.024,0.9618,0.0622
method1,method2,17,0.2558,0,2.8235,0.9137,1.1315,0.2178
method1,method2,18,0.1556,0,3.7778,0.9618,1.0687,0.1069
method1,method2,19,0.1176,0,1.8947,0.9811,1.2149,0.2338
method1,method2,20,0.306,0,1.7,0.9618,1.0857,0.1239
method1,method2r,6,0.5,1,0.0,0.9102,0.9102,0.0
method1,method2r,7,0.3333,1,0.0,1.1703,1.1703,0.0
method1,method2r,8,0.3333,0,0.25,1.024,1.082,0.058
method1,method2r,9,0.36,0,0.0,0.9618,0.9618,0.0
method1,method2r,10,0.2692,0,0.6,0.8656,1.1542,0.2886
method1,method2r,11,0.2286,0,2.0,0.8473,1.0492,0.2019
method1,method2r,12,0.2105,0,1.8333,0.9102,1.0356,0.1254
method1,method2r,13,0.1373,0,0.9231,0.8878,0.9559,0.0681
method1,method2r,14,0.2623,0,1.0,0.9568,1.1095,0.1527
method1,method2r,15,0.3455,0,1.8667,0.9618,1.1162,0.1544
method1,method2r,16,0.1622,0,5.0,1.024,0.9618,0.0622
method1,method2r,17,0.2558,0,2.8235,0.9137,1.1315,0.2178
method1,method2r,18,0.1556,0,3.7778,0.9618,1.0687,0.1069
method1,method2r,19,0.1176,0,1.8947,0.9811,1.2149,0.2338
method1,method2r,20,0.306,0,1.7,0.9618,1.0857,0.1239
method1,method3,6,0.7,0,0.3333,0.9102,0.9102,0.0
