block_id,n,alpha,d_max,num_forced,alpha_ratio,forced_ratio,worst_linear_k,best_linear_k,linear_witness,is_triangle_free,min_forced_deg,forced,g6
5524,8,3,5,3,0.3750,0.3750,1,1,0,0,3,0|1|2,GEhvTw
5529,8,3,5,3,0.3750,0.3750,1,1,0,0,3,0|1|2,GEhuvW
5530,8,3,5,3,0.3750,0.3750,1,1,0,0,3,0|1|2,GEhutw
5533,8,3,5,3,0.3750,0.3750,1,1,0,0,3,0|1|2,GEhtvW
5541,8,3,5,3,0.3750,0.3750,1,1,0,0,4,0|1|2,GEhvvW
5548,8,3,5,3,0.3750,0.3750,1,1,0,0,3,0|1|2,GEjur[
5549,8,3,5,3,0.3750,0.3750,1,1,0,0,3,0|1|2,GEjtvW
5551,8,3,5,3,0.3750,0.3750,1,1,0,0,4,0|1|2,GEh~fS
5569,8,3,4,3,0.3750,0.3750,1,1,0,0,4,0|1|2,GEnbvG
5571,8,3,5,3,0.3750,0.3750,1,1,0,0,4,0|1|2,GEnb~g
5573,8,3,5,3,0.3750,0.3750,1,1,0,0,5,0|1|2,GFzvvW
5591,8,3,4,3,0.3750,0.3750,1,1,3,0,3,3|4|7,GQjRvG
5592,8,3,5,3,0.3750,0.3750,1,1,3,0,3,3|4|7,GQjRvK
5595,8,3,5,3,0.3750,0.3750,1,1,0,0,3,0|3|7,GQjur[
5596,8,3,5,3,0.3750,0.3750,1,1,4,0,4,4|5|6,GQyvew
5597,8,3,5,3,0.3750,0.3750,1,1,0,0,4,0|1|7,GQz^`{
5600,8,3,5,3,0.3750,0.3750,1,1,4,0,3,4|5|6,GUZvb[
5601,8,3,5,3,0.3750,0.3750,1,1,5,0,4,5|6|7,GUZuvo
5602,8,3,5,3,0.3750,0.3750,1,1,5,0,4,5|6|7,GUZvvo
5121,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCZVRw
5130,8,3,4,2,0.3750,0.2500,1,1,1,0,3,1|2,GCZTrW
5132,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCZTvW
5134,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCZV^o
5244,8,3,4,2,0.3750,0.2500,1,1,1,0,3,1|2,GCXncw
5250,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCXmvg
5252,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCXk~o
5254,8,3,5,2,0.3750,0.2500,1,1,1,0,4,1|2,GCXnvg
5273,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCY^fW
5274,8,3,6,2,0.3750,0.2500,1,1,1,0,3,1|2,GCY^f[
5277,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCY^Rw
5296,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCZmvg
5299,8,3,5,2,0.3750,0.2500,1,1,1,0,4,1|2,GCZjvg
5301,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCZjuk
5302,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCZjs{
5303,8,3,6,2,0.3750,0.2500,1,1,1,0,4,1|2,GCZjvk
5304,8,3,5,2,0.3750,0.2500,1,1,1,0,4,1|2,GCZnvg
5337,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCdfJw
5344,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCdfnW
5348,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCfvRw
5349,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCfvRk
5351,8,3,6,2,0.3750,0.2500,1,1,1,0,3,1|2,GCfvR{
5372,8,3,5,2,0.3750,0.2500,1,1,1,0,4,1|2,GCxvVg
5373,8,3,5,2,0.3750,0.2500,1,1,1,0,4,1|2,GCxvRw
5374,8,3,6,2,0.3750,0.2500,1,1,1,0,4,1|2,GCxvVw
5375,8,3,5,2,0.3750,0.2500,1,1,1,0,4,1|2,GCxvvg
5376,8,3,6,2,0.3750,0.2500,1,1,1,0,4,1|2,GCxvvw
5377,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCxv]w
5378,8,3,5,2,0.3750,0.2500,1,1,1,0,4,1|2,GCxvZw
5379,8,3,6,2,0.3750,0.2500,1,1,1,0,4,1|2,GCxv^w
5381,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCxu|w
5382,8,3,6,2,0.3750,0.2500,1,1,1,0,3,1|2,GCxu~w
5383,8,3,6,2,0.3750,0.2500,1,1,1,0,4,1|2,GCxv~w
5384,8,3,5,2,0.3750,0.2500,1,1,1,0,4,1|2,GCzvrw
5386,8,3,5,2,0.3750,0.2500,1,1,1,0,4,1|2,GCznbs
5388,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCz^fS
5389,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCz^bs
5391,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCz^bk
5393,8,3,5,2,0.3750,0.2500,1,1,1,0,4,1|2,GCx~fS
5401,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCvbvg
5402,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCvbvW
5406,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCvbrk
5407,8,3,6,2,0.3750,0.2500,1,1,1,0,3,1|2,GCvbvk
5408,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCvfJw
5411,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCvdjw
5412,8,3,5,2,0.3750,0.2500,1,1,1,0,3,1|2,GCvdjs
5522,8,3,4,2,0.3750,0.2500,1,1,1,0,3,1|2,GEhvSw
5531,8,3,5,2,0.3750,0.2500,1,1,0,0,3,0|1,GEhup{
5589,8,3,4,2,0.3750,0.2500,1,1,5,0,3,5|7,GQjRv_
5590,8,3,4,2,0.3750,0.2500,1,1,6,0,4,6|7,GQjRro
5598,8,3,5,2,0.3750,0.2500,1,1,5,0,4,5|6,GUZvfo
4230,8,3,5,1,0.3750,0.1250,1,1,2,0,1,2,GCQURw
4249,8,3,4,1,0.3750,0.1250,1,1,2,0,1,2,GCQVQw
4251,8,3,5,1,0.3750,0.1250,1,1,2,0,2,2,GCQVRw
4253,8,3,5,1,0.3750,0.1250,1,1,2,0,1,2,GCQUvW
4255,8,3,5,1,0.3750,0.1250,1,1,2,0,2,2,GCQVvW
4447,8,3,5,1,0.3750,0.1250,1,1,2,0,1,2,GCRURw
4452,8,3,5,1,0.3750,0.1250,1,1,2,0,1,2,GCRSvW
4454,8,3,5,1,0.3750,0.1250,1,1,2,0,1,2,GCRSr[
4455,8,3,6,1,0.3750,0.1250,1,1,2,0,1,2,GCRSv[
4463,8,3,5,1,0.3750,0.1250,1,1,2,0,2,2,GCRVRw
4465,8,3,5,1,0.3750,0.1250,1,1,2,0,2,2,GCRVTs
4471,8,3,5,1,0.3750,0.1250,1,1,2,0,1,2,GCRUvW
4475,8,3,5,1,0.3750,0.1250,1,1,2,0,2,2,GCRTvW
4477,8,3,6,1,0.3750,0.1250,1,1,2,0,2,2,GCRTv[
4478,8,3,5,1,0.3750,0.1250,1,1,2,0,1,2,GCRU^o
4480,8,3,5,1,0.3750,0.1250,1,1,2,0,1,2,GCRUZw
4482,8,3,5,1,0.3750,0.1250,1,1,2,0,2,2,GCRV^o
4539,8,3,4,1,0.3750,0.1250,1,1,2,0,1,2,GCQuQw
4547,8,3,5,1,0.3750,0.1250,1,1,2,0,2,2,GCQuRw
4563,8,3,4,1,0.3750,0.1250,1,1,2,0,2,2,GCQvQw
4565,8,3,5,1,0.3750,0.1250,1,1,2,0,3,2,GCQvRw
4567,8,3,4,1,0.3750,0.1250,1,1,2,0,2,2,GCQurW
4569,8,3,5,1,0.3750,0.1250,1,1,2,0,2,2,GCQuvW
4570,8,3,5,1,0.3750,0.1250,1,1,2,0,2,2,GCQu^o
4572,8,3,5,1,0.3750,0.1250,1,1,2,0,2,2,GCQuZw
4574,8,3,5,1,0.3750,0.1250,1,1,2,0,3,2,GCQr^o
4576,8,3,5,1,0.3750,0.1250,1,1,2,0,3,2,GCQv^o
4583,8,3,5,1,0.3750,0.1250,1,1,2,0,3,2,GCRvRw
4588,8,3,5,1,0.3750,0.1250,1,1,2,0,2,2,GCRuvW
