construction,N,num_blocks,num_matching,predicted_alpha,actual_alpha,alpha_gap,d_max,c,k4_free,block_ids,k_copies,source,g6
single,16,1,5,7,7,0,5,1.3592,1,594,2,,O??FC{?@?OA?G?O??F?@N
single,24,1,7,11,11,0,5,1.4239,1,594,3,,W??FC{?O??????G??F?@N???C??O??_???A??A????[??@N
single,32,1,10,14,14,0,5,1.3592,1,594,4,,_??FC{???????????F?@N????@??C??G??G??C????[??@N????@???@????_???G???@????????F????C{
single,40,1,12,18,18,0,5,1.398,1,594,5,,g??FC{???????????F?@N??@????????????G?????[??@N??????O???O???G???A????O??????F????C{?????@?????O????A????????G?????_???????F?????@N
single,48,1,15,21,21,0,5,1.3592,1,594,6,,o??FC{???????????F?@N?????????????????????[??@N???????C???C???A????_???C?????F????C{???????O????C?????_????A?????C?????????F?????@N???????C??????O??????_??????_??????O?????????????[??????@N
single,56,1,17,25,25,0,5,1.3869,1,594,7,,w??FC{???????????F?@N?????????????????????[??@N????O?????????????????_???????F????C{????????C????@?????G?????_????@????????F?????@N????????@??????C??????G??????G??????C????????????[??????@N????????@???????@????????_???????????A????????_???????????F????????C{
single,64,1,20,28,28,0,5,1.3592,1,594,8,,~?@???FC{???????????F?@N?????????????????????[??@N??????????????????????????????F????C{?????????@?????O????A?????G?????O??????F?????@N??????????O?????@??????A??????A??????@???????????[??????@N??????????O???????O???????G???????A????????O??????????????F????????C{?????????@?????????O????????A?????????G?????????O??????????????????F?????????@N
single,72,1,22,32,32,0,5,1.3807,1,594,9,,~?@G??FC{???????????F?@N?????????????????????[??@N??????????????????????????????F????C{?????O??????????????????????G??????????F?????@N???????????C??????O??????_??????_??????O?????????[??????@N???????????C???????C???????A????????_???????C?????????????F????????C{???????????O????????C?????????_????????A?????????C?????????????????F?????????@N???????????C??????????O??????????_???????????????A??????????A????????????????[??????????@N
single,80,1,25,35,35,0,5,1.3592,1,594,10,,~?@O??FC{???????????F?@N?????????????????????[??@N??????????????????????????????F????C{???????????????????????????????????????F?????@N????????????@??????C??????G??????G??????C????????[??????@N????????????@???????@????????_???????G???????@????????????F????????C{????????????C????????@?????????G?????????_????????@????????????????F?????????@N????????????@??????????C??????????G??????????G??????????C????????????????????[??????????@N????????????@???????????@????????????_???????????G???????????@????????????????????????F????????????C{
single,88,1,27,39,39,0,5,1.3768,1,594,11,,~?@W??FC{???????????F?@N?????????????????????[??@N??????????????????????????????F????C{???????????????????????????????????????F?????@N??????@????????????????????????????G?????????????[??????@N??????????????O???????O???????G???????A????????O??????????F????????C{?????????????@?????????O????????A?????????G?????????O??????????????F?????????@N??????????????O?????????@??????????A??????????A??????????@???????????????????[??????????@N??????????????O???????????O???????????G???????????A????????????O??????????????????????F????????????C{?????????????@?????????????O????????????A????????????????????G?????????????_???????????????????F?????????????@N
single,96,1,30,42,42,0,5,1.3592,1,594,12,,~?@_??FC{???????????F?@N?????????????????????[??@N??????????????????????????????F????C{???????????????????????????????????????F?????@N?????????????????????????????????????????????????[??????@N???????????????C???????C???????A????????_???????C?????????F????????C{???????????????O????????C?????????_????????A?????????C?????????????F?????????@N???????????????C??????????O??????????_??????????_??????????O?????????????????[??????????@N???????????????C???????????C???????????A????????????_???????????C?????????????????????F????????????C{???????????????O????????????C?????????????_????????????A?????????????C?????????????????????????F?????????????@N???????????????C??????????????O??????????????_??????????????_??????????????O?????????????????????????????[??????????????@N
single,16,1,5,7,7,0,5,1.3592,1,600,2,,O??Fe]???G@?C?G??F_@f
single,24,1,7,11,11,0,5,1.4239,1,600,3,,W??Fe]??@?????C??F_@f??????G??O???A??@????]??@f
single,32,1,10,14,14,0,5,1.3592,1,600,4,,_??Fe]???????????F_@f???????A??C??C??A????]??@f??A??????_???O???C????_???????F_???E[
single,40,1,12,18,18,0,5,1.398,1,600,5,,g??Fe]???????????F_@f?????@?????????C?????]??@f??????????G???C???@????G??????F_???E[??G????????G????@????????G?????O???????F_????@f
single,48,1,15,21,21,0,5,1.3592,1,600,6,,o??Fe]???????????F_@f?????????????????????]??@f???????????A???@????O???A?????F_???E[???A????????A?????O????@?????A?????????F_????@f??A???????????G??????O??????O??????G?????????????]??????@f
single,56,1,17,25,25,0,5,1.3869,1,600,7,,w??Fe]???????????F_@f?????????????????????]??@f????????C?????????????O???????F_???E[??????????????_????C?????O?????_???????F_????@f????_??????????A??????C??????C??????A????????????]??????@f??A??????????????_???????O???????????A????????O???????????F_???????E[
single,64,1,20,28,28,0,5,1.3592,1,600,8,,~?@???Fe]???????????F_@f?????????????????????]??@f??????????????????????????????F_???E[???????????????G????@?????C?????G??????F_????@f?????G???????????_?????@??????@???????_??????????]??????@f????_?????????????G???????C???????@????????G??????????????F_???????E[??G????????????????G????????@?????????C?????????G??????????????????F_????????@f
