graph_id,source,n,d,alpha,lam_min,hoffman,theta,theta_over_alpha,alpha_over_theta,theta_over_hoff,alpha_over_hoff,c_log
9397f79e4e86912f,brute_force,4,2.0,2,-1.481194,1.7019378983187952,1.9999999975601774,0.9999999987800887,1.0000000012199113,1.1751310077387744,1.17513100917233,1.365359
fdbd418da0289c71,brute_force,4,2.5,2,-1.561553,1.537887601122034,1.9999948896855995,0.9999974448427997,1.000002555163729,1.3004818351005722,1.3004851580445875,1.365359
64b30f8ec7208fea,brute_force,4,1.5,2,-1.618034,2.0757105278518453,1.9999996082899858,0.9999998041449929,1.0000001958550455,0.9635252996282614,0.9635254883395528,1.442695
967670952879efcb,brute_force,5,2.0,2,-1.675131,2.279008557790185,1.9999822309863264,0.9999911154931632,1.000008884585772,0.8775667928713645,0.8775745896888064,1.092287
ea242d418227064d,brute_force,5,2.4,2,-2.0,2.2727272727272725,1.9999994805039143,0.9999997402519571,1.0000002597481104,0.8799997714217224,0.8800000000000001,1.092287
3b840a438b5fe67f,brute_force,5,2.4,2,-1.775713,2.1262392793757616,1.9999847345504789,0.9999923672752394,1.0000076327830194,0.940620725969116,0.9406279055230209,1.092287
e6696b107360034b,cayley,5,2,2,-1.618034,2.2360679860941057,2.236067514968583,1.1180337574842916,0.8944273760124368,0.9999997893062619,0.8944271875621895,1.154156
13114571dd0ca30f,brute_force,6,2.333333,2,-1.732051,2.55629136140645,1.999996368323029,0.9999981841615145,1.0000018158417827,0.7823820079815346,0.7823834286634748,0.910239
3bc16c695de52c52,brute_force,6,2.666667,2,-2.0,2.571428387755115,1.9999908358512157,0.9999954179256079,1.0000045820953876,0.7777742694974404,0.7777778333333333,0.910239
912f2fa4957928d2,brute_force,6,2.666667,2,-1.791288,2.410909935160853,2.236069013655509,1.1180345068277544,0.8944267765378203,0.9274792811811616,0.829562303772481,0.910239
e9b9b2d08668631d,brute_force,7,3.142857,2,-1.855773,2.5987942696298787,2.2360710935827646,1.1180355467913823,0.8944259445684629,0.8604263599139099,0.7695876596976031,0.824397
817c1727525120e6,brute_force,7,3.428571,2,-2.0,2.5789475720221766,2.2360679685985345,1.1180339842992673,0.894427194560418,0.8670466948830654,0.7755101428571429,0.824397
2b5023397338930d,brute_force,7,3.428571,2,-2.179053,2.7201130104300866,2.2360670716563518,1.1180335358281759,0.8944275533374378,0.8220493277603931,0.7352635689514139,0.824397
607ce364e29b3ffc,polarity,7,2.571429,3,-1.866198,2.9437773837233276,3.064174700414715,1.021391566804905,0.9790564485745445,1.0408989203317771,1.0190988002651074,1.170308
935748387c49e19c,cayley,7,2,3,-1.801938,3.3176674632779393,3.317666723230506,1.1058889077435021,0.9042499594651312,0.9999997769374293,0.9042497577608107,1.236596
9bf19784dcba2a76,brute_force,8,4,2,-2.0,2.6666666666666665,2.343146123699613,1.1715730618498066,0.8535532546481494,0.8786797963873549,0.75,0.721348
65578480c45b939b,brute_force,8,4.25,2,-2.0,2.56,2.338044161945234,1.169022080972617,0.8554158354032183,0.9132985007598571,0.78125,0.776669
4254506407b88f0d,brute_force,8,4.5,2,-2.302776,2.7080427166791914,2.3145958309715193,1.1572979154857597,0.8640817430145149,0.8547117136356894,0.7385407872932495,0.776669
454c009bb29ac3a5,circulant,8,3,3,-2.414214,3.5672236080805084,3.4142393925702588,1.1380797975234196,0.8786730088488561,0.9571139260337624,0.8409901731992275,1.024019
