n,trials,best_c_log,best_alpha,best_d_max,best_m,mean_c_log,median_c_log,std_c_log,min_d_max,max_d_max,median_d_max,mean_alpha,mean_m,E_local_hc_best,hc_tightness_lb_best,elapsed_s
10,30,1.004599127792245,3,6,29,1.2284942213139918,1.0791865189764767,0.23596978779367603,6,8,7.0,3.433333333333333,29.5,0.8215666142141645,0.2738555380713882,0.02651190757751465
11,30,0.9810786536149786,3,7,34,1.3406521052047562,1.3081048714866381,0.17838057507056565,7,9,7.0,4.0,35.63333333333333,0.8503711325104938,0.2834570441701646,0.03126335144042969
12,30,1.1990961321960851,4,7,40,1.3671664110921145,1.282395591901301,0.17770021581592493,7,10,8.0,4.2,41.166666666666664,0.8331733885374856,0.2082933471343714,0.04514908790588379
13,30,1.1837497771396623,4,8,48,1.3531531453788168,1.2603312368679285,0.20210011502506764,8,10,9.0,4.4,48.266666666666666,0.8126504775087666,0.20316261937719166,0.03821110725402832
14,30,1.0991962216296864,4,8,53,1.39550390512158,1.4628844713645601,0.24571088223534956,8,11,9.0,4.7,55.6,0.847054236020967,0.21176355900524174,0.04885601997375488
15,30,1.0922870719522049,4,9,59,1.4351043712794962,1.447648273010839,0.14880377081721496,9,11,10.0,5.066666666666666,62.766666666666666,0.8719546975751027,0.21798867439377567,0.051120758056640625
16,30,1.024019129955192,4,9,65,1.3736853885888702,1.357170255947662,0.1796659304851775,9,12,10.0,5.033333333333333,67.96666666666667,0.9055164001421574,0.22637910003553935,0.0505979061126709
17,30,1.2773367114801524,5,10,79,1.3895132228175475,1.3492224428431498,0.15407647616283887,10,13,11.0,5.233333333333333,76.76666666666667,0.8405372229996492,0.16810744459992982,0.07054424285888672
18,30,1.206373560842366,5,10,85,1.4078237234190136,1.3414320146061487,0.16325395002325904,10,12,11.0,5.466666666666667,84.9,0.8685613700962695,0.1737122740192539,0.08403754234313965
19,30,1.1428802155348732,5,10,88,1.3515965087481874,1.270830329626878,0.18371019708726355,10,13,11.0,5.5,93.0,0.920801916276799,0.1841603832553598,0.08008027076721191
20,30,1.1468390764166774,5,11,95,1.4166955716273584,1.4487465757746407,0.19131192662781177,11,14,12.0,5.833333333333333,101.46666666666667,0.9518621710940081,0.19037243421880162,0.09171080589294434
21,30,1.092227691825407,5,11,104,1.4213625088867625,1.4480931966476118,0.1863283172428901,11,14,12.5,6.0,110.2,0.9508055602306079,0.19016111204612157,0.11064529418945312
22,30,1.0975352846777582,5,12,110,1.3987576327910154,1.382270778618175,0.13706167167169958,12,14,13.0,6.133333333333334,118.86666666666666,0.9647368154144238,0.19294736308288477,0.12768769264221191
23,30,1.2597796311083833,6,12,123,1.4347111699067965,1.383893359215474,0.15211430855038227,12,15,13.0,6.433333333333334,129.0,0.9564452759624367,0.15940754599373944,0.14632606506347656
24,30,1.26708154706666,6,13,138,1.4660950753560646,1.4782618049111034,0.15412668461920706,13,15,13.5,6.766666666666667,139.13333333333333,0.9327783490279568,0.15546305817132614,0.1822965145111084
25,30,1.2163982851839938,6,13,144,1.4070271537982002,1.4191313327146595,0.14581950265791294,13,16,14.0,6.633333333333334,148.9,0.9549538572108403,0.15915897620180672,0.20896410942077637
26,30,1.16961373575384,6,13,148,1.4632900835891893,1.459764538035481,0.16103795083487005,13,16,14.5,6.966666666666667,157.8,1.00203871680836,0.16700645280139334,0.20967578887939453
27,30,1.1788721208131816,6,14,166,1.4566852831940693,1.4360475619344364,0.12296856543265586,14,17,15.0,7.1,169.76666666666668,0.9730398182817271,0.16217330304695451,0.28229451179504395
28,30,1.1869372705784627,6,15,176,1.448422010182212,1.4137275949485848,0.14589774286863508,14,17,15.0,7.266666666666667,180.93333333333334,0.9815184992341254,0.1635864165390209,0.3236992359161377
29,30,1.3370097990424064,7,15,185,1.5098148128084938,1.528011198905607,0.1489951237414951,15,17,16.0,7.633333333333334,191.96666666666667,1.0047501418860334,0.14353573455514762,0.3453078269958496
30,30,1.2378157268538406,7,14,193,1.4732562061386492,1.5079761012784907,0.13133226571253798,14,18,16.0,7.633333333333334,202.96666666666667,1.0165175570120812,0.14521679385886874,0.37920689582824707
31,30,1.2507511023299929,7,15,202,1.446603001943911,1.4892335905950589,0.11648884652001973,15,18,16.0,7.666666666666667,215.2,1.0410707907917107,0.1487243986845301,0.9361674785614014
32,30,1.2116651303821806,7,15,216,1.4750221682818636,1.4713792836570991,0.13601625522775396,15,18,17.0,7.966666666666667,226.76666666666668,1.0273299412311938,0.14676142017588484,0.48262763023376465
33,30,1.2241048831785146,7,16,229,1.4504119084377782,1.4546070559275004,0.1273486962161665,16,18,17.0,8.066666666666666,235.76666666666668,1.030246131933789,0.14717801884768414,0.546919584274292
